"id","texto_original","texto_procesado","etiqueta_real","etiqueta_predicha","modelo"
"294","pues Muy mala calidad del perfume, no lo recomiendo. la neta","malo calidad perfume no recomeir neta","negativo","negativo","LinearSVC"
"401","El pantalón puede usarse para lo indicado.","pantalón indicado","neutro","neutro","LinearSVC"
"112","La compra del rasuradora fue sencilla y llegó sin problemas.!!!","compra rasuradora sencillo sin problema","positivo","positivo","LinearSVC"
"488","El artículo funciona, aunque el manual es confuso.","artículo funcionar aunque manual confuso","mixto","mixto","LinearSVC"
"405","El teclado llegó en condiciones normales.","teclado condición normal","neutro","neutro","LinearSVC"
"769","Llegó bien empacado, sin golpes y funcionando desde el primer momento.","bien empacado sin golpe funcionar momento","positivo","positivo","LinearSVC"
"129","Me gustó el jabón, se ve resistente y de buena calidad.","gustar jabón resistente buen calidad","positivo","positivo","LinearSVC"
"688","Llegó completo y a tiempo, aunque una pieza venía ligeramente rayada.","completo tiempo aunque pieza venir ligeramente rayado","mixto","mixto","LinearSVC"
"260","El perfume se rompió al poco tiempo de usarlo.","perfume romper tiempo","negativo","negativo","LinearSVC"
"232","El artículo no coincide con la descripción de la tienda.","artículo no coincidir descripción tienda","negativo","negativo","LinearSVC"
"567","Me gustó el precio del crema, pero el material no tanto.","gustar precio crema pero material no","mixto","mixto","LinearSVC"
"465","sirve pero no es igual","servir pero no","mixto","mixto","LinearSVC"
"657","Lo probé varios días antes de opinar y el mouse sigue funcionando sin problema.","prober opinar mouse funcionar sin problema","positivo","positivo","LinearSVC"
"440","El blusa llegó completo y sin observaciones.","blusa completo sin observación","neutro","neutro","LinearSVC"
"896","No es malo, aunque por el precio esperaba algo mejor.","no malo aunque precio esperar mejor","mixto","mixto","LinearSVC"
"438","El molde llegó completo y sin observaciones. :)","molde completo sin observación","neutro","neutro","LinearSVC"
"895","Recibí la cámara hoy; todavía no hago pruebas.","recibir cámara no prueba","neutro","neutro","LinearSVC"
"459","Cumple pero pudo ser mejor.","cumplir pero mejor","mixto","mixto","LinearSVC"
"149","Muy buen rasuradora, no tuve fallas ni detalles.","buen rasuradora no falla detalle","positivo","positivo","LinearSVC"
"613","No esperaba mucho de la plancha, pero salió muy buena y hasta ahora no me ha fallado.","no esperar plancha pero salir buen no fallar","positivo","positivo","LinearSVC"
"278","El chamarra venía abierto y con señales de uso.","chamarra venir abierto señal uso","negativo","negativo","LinearSVC"
"34","El juguete llegó completo y a mi sobrino le encantó.","juguete completo sobrino encantar","positivo","positivo","LinearSVC"
"913","No pensé decirlo, pero sí valió la pena comprar el termo.","no pensar pero valer pena comprar termo","positivo","positivo","LinearSVC"
"668","El precio es bueno, sin embargo tiene algunos detalles de fabricación.","precio bueno sin embargo detalle fabricación","mixto","mixto","LinearSVC"
"978","Me arrepentí de comprarlo; no cumplió ni con lo básico.","arrepentir no cumplir básico","negativo","negativo","LinearSVC"
"103","La compra del pantalón fue sencilla y llegó sin problemas.","compra pantalón sencillo sin problema","positivo","positivo","LinearSVC"
"911","Ya lo recibí.","recibir","neutro","neutro","LinearSVC"
"514","El producto cumple su función, pero no se ve muy durable.","producto cumplir función pero no durable","mixto","mixto","LinearSVC"
"523","El artículo es correcto, aunque esperaba mejor presentación.","artículo correcto aunque esperar mejor presentación","mixto","mixto","LinearSVC"
"292","El figura se rompió al poco tiempo de usarlo.","figura romper tiempo","negativo","negativo","LinearSVC"
"415","El mouse cumple con lo básico.","mouse cumplir básico","neutro","neutro","LinearSVC"
"240","No sirve para lo que se anuncia, me decepcionó.","no servir anunciar decepcionar","negativo","negativo","LinearSVC"
"553","El rasuradora funciona, pero la batería dura poco.","rasuradora funcionar pero batería duro","mixto","mixto","LinearSVC"
"991","El reloj llegó en una caja color café y contiene los accesorios mostrados.","reloj caja color café contener accesorio mostrado","neutro","neutro","LinearSVC"
"6","Todo perfecto.","perfecto","positivo","positivo","LinearSVC"
"1","Excelente.","excelente","positivo","positivo","LinearSVC"
"509","El vendedor fue amable, pero el envío se demoró varios días.","vendedor amable pero envío demorar","mixto","mixto","LinearSVC"
"914","Muy mal.","mucho mal","negativo","negativo","LinearSVC"
"531","Funciona bien, pero el botón principal se siente duro.","funcionar bien pero botón principal duro","mixto","mixto","LinearSVC"
"3","Me encantó.","encantar","positivo","positivo","LinearSVC"
"737","No me arrepiento de la compra, ha funcionado mejor de lo que esperaba.","no arrepientir compra funcionar mejor esperar","positivo","positivo","LinearSVC"
"924","La neta sí sirve, pero no me encantó la calidad del acabado.","neta servir pero no encantar calidad acabado","mixto","mixto","LinearSVC"
"554","El pantalón es útil, aunque venía incompleto.","pantalón útil aunque venir incompleto","mixto","mixto","LinearSVC"
"286","Pésima compra, el sudadera falló rápido.","pésimo comprar sudadera fallar rápido","negativo","negativo","LinearSVC"
"192","El juguete llegó sin una pieza y no se puede usar.","juguete sin pieza no","negativo","negativo","LinearSVC"
"836","Está bueno, aunque tiene sus detalles.","bueno aunque detalle","mixto","mixto","LinearSVC"
"558","la verdad El zapatos funciona, pero la batería dura poco.","zapato funcionar pero batería duro","mixto","mixto","LinearSVC"
"458","Funciona pero se calienta.","funcionar pero calentar","mixto","mixto","LinearSVC"
