id,texto_original,etiqueta_original,texto_limpio
264,"El producto cumple su propósito, nada más.",neutro,el producto cumple su proposito nada mas
265,El envío fue correcto y el artículo está en buen estado.,neutro,el envio fue correcto y el articulo esta en buen estado
266,"Es lo que dice ser, sin más. Correcto y funcional.",neutro,es lo que dice ser sin mas correcto y funcional
267,"El producto llegó como se esperaba, sin contratiempos.",neutro,el producto llego como se esperaba sin contratiempos
268,"Artículo recibido correctamente, sin observaciones especiales.",neutro,articulo recibido correctamente sin observaciones especiales
269,"El producto es normal, cumple lo básico.",neutro,el producto es normal cumple lo basico
270,El artículo llegó a tiempo y en condiciones aceptables.,neutro,el articulo llego a tiempo y en condiciones aceptables
271,"El producto hace lo que se indica, nada fuera de lo común.",neutro,el producto hace lo que se indica nada fuera de lo comun
272,"Recibí el pedido en buen estado, el proceso fue normal.",neutro,recibi el pedido en buen estado el proceso fue normal
273,"El artículo es lo que se describe, funciona correctamente.",neutro,el articulo es lo que se describe funciona correctamente
274,"El producto es estándar, correcto para uso diario.",neutro,el producto es estandar correcto para uso diario
275,El envío fue a tiempo y el artículo llegó en buenas condiciones.,neutro,el envio fue a tiempo y el articulo llego en buenas condiciones
276,"Todo llegó como se esperaba, sin comentarios adicionales.",neutro,todo llego como se esperaba sin comentarios adicionales
277,"El producto funciona, el envío fue puntual.",neutro,el producto funciona el envio fue puntual
278,"Artículo correcto, llegó sin problemas.",neutro,articulo correcto llego sin problemas
279,"El producto es lo esperado, funciona sin fallas.",neutro,el producto es lo esperado funciona sin fallas
280,"El envío fue normal, artículo en buen estado.",neutro,el envio fue normal articulo en buen estado
281,"El producto cumple, llegó correctamente.",neutro,el producto cumple llego correctamente
282,"Todo fue según lo esperado, artículo funcional.",neutro,todo fue segun lo esperado articulo funcional
283,El artículo llegó bien y funciona como debe.,neutro,el articulo llego bien y funciona como debe
284,El producto es correcto para lo que se usa.,neutro,el producto es correcto para lo que se usa
285,Recibí el pedido a tiempo y en buenas condiciones.,neutro,recibi el pedido a tiempo y en buenas condiciones
286,"El artículo es lo que se describe, sin observaciones.",neutro,el articulo es lo que se describe sin observaciones
287,"El producto cumple su función, el envío fue estándar.",neutro,el producto cumple su funcion el envio fue estandar
288,"Llegó correctamente, el artículo no tiene defectos aparentes.",neutro,llego correctamente el articulo no tiene defectos aparentes
289,El producto es aceptable para uso básico.,neutro,el producto es aceptable para uso basico
290,El envío fue puntual y el artículo llegó en buen estado.,neutro,el envio fue puntual y el articulo llego en buen estado
291,"El producto cumple lo que promete, sin más.",neutro,el producto cumple lo que promete sin mas
292,"Artículo recibido, todo en orden.",neutro,articulo recibido todo en orden
293,El producto es funcional y llegó a tiempo.,neutro,el producto es funcional y llego a tiempo
294,"Recibí el artículo en el plazo indicado, todo correcto.",neutro,recibi el articulo en el plazo indicado todo correcto
295,"El artículo llegó bien, el producto es lo esperado.",neutro,el articulo llego bien el producto es lo esperado
296,"El envío fue correcto, el producto es estándar.",neutro,el envio fue correcto el producto es estandar
297,"Todo llegó en orden, el artículo es funcional.",neutro,todo llego en orden el articulo es funcional
298,"El producto no tiene nada especial, pero cumple.",neutro,el producto no tiene nada especial pero cumple
299,"El artículo llegó en buenas condiciones, todo normal.",neutro,el articulo llego en buenas condiciones todo normal
300,"El producto es correcto, el envío fue a tiempo.",neutro,el producto es correcto el envio fue a tiempo
