id,texto,etiqueta
532,"La calidad es decente, aunque no iguala lo que muestran las fotos.",mixto
533,"El producto sirve para lo básico, pero esperaba más funciones.",mixto
534,"Me gustó la rapidez del envío, pero el producto tenía un golpe.",mixto
535,"El artículo llegó en tiempo, aunque el empaque venía abierto.",mixto
536,"La prenda está bonita, pero se arruga demasiado fácil.",mixto
537,"El producto es bueno en general, pero la garantía no venía clara.",mixto
538,"El vendedor contestó, aunque tardó bastante en solucionar la duda.",mixto
539,"El artículo llegó bien, pero la calidad del accesorio extra es baja.",mixto
540,"La compra fue fácil, pero el producto no era tan grande como esperaba.",mixto
541,"El producto funciona, aunque la batería baja más rápido de lo anunciado.",mixto
542,"Me gustó el precio, pero el material no se siente premium.",mixto
543,"El envío fue correcto, aunque el producto llegó con una marca pequeña.",mixto
544,"El artículo cumple, pero requiere más cuidado del que imaginaba.",mixto
545,"El producto me gustó, aunque tuvo detalles que podrían mejorar.",mixto
546,"El artículo me pareció bueno en general porque funciona y tiene buen diseño, pero el empaque llegó abierto y eso me dejó con duda sobre el manejo del envío.",mixto
547,"La experiencia de compra fue sencilla y el producto cumple su función, aunque esperaba una mejor calidad en los materiales y una entrega más cuidada.",mixto
548,"Me agradó el producto porque es útil para el día a día, pero la publicación debería explicar mejor el tamaño real y los accesorios incluidos.",mixto
549,"El pedido llegó dentro del tiempo marcado y sí corresponde a lo comprado, pero la caja venía maltratada y el producto tenía una marca pequeña.",mixto
550,"La calidad es aceptable para el precio y funciona bien, aunque después de usarlo noté que algunos acabados podrían mejorar.",mixto
551,"pues Me gustó el precio del blusa, pero el material no tanto. :(",mixto
552,"Me gustó el precio del mouse, pero el material no tanto.",mixto
553,"El rasuradora funciona, pero la batería dura poco.",mixto
554,"El pantalón es útil, aunque venía incompleto.",mixto
555,"pues El mouse está bonito, pero se siente frágil. :(",mixto
556,"ok, Me gustó el precio del gel, pero el material no tanto. :(",mixto
557,"Me gustó el precio del figura, pero el material no tanto. jeje",mixto
558,"la verdad El zapatos funciona, pero la batería dura poco.",mixto
559,"El freidora cumple, aunque esperaba mejor calidad. pero bueno",mixto
560,"ok, Me gustó el precio del gorra, pero el material no tanto. pero bueno",mixto
561,"Me gustó el precio del muñeca, pero el material no tanto.",mixto
562,"sinceramente Me gustó el tenis, aunque tardó en llegar. :(",mixto
563,"El jabón sirve, pero no es igual a la foto.",mixto
564,"ok, El zapatos llegó rápido, pero tenía un rayón. en fin",mixto
565,"El rasuradora funciona bien, pero llegó golpeado.",mixto
566,"El chamarra funciona bien, pero llegó golpeado.",mixto
567,"Me gustó el precio del crema, pero el material no tanto.",mixto
568,"El cable USB es útil, aunque venía incompleto.",mixto
569,"la verdad Me gustó el precio del power bank, pero el material no tanto.!!!",mixto
570,"El cuchillo funciona bien, pero llegó golpeado.",mixto
571,"Me gustó el juego de mesa, aunque tardó en llegar.",mixto
572,"El licuadora está bonito, pero se siente frágil.",mixto
573,"El peluche cumple, aunque esperaba mejor calidad.",mixto
574,"Buen juego de mesa, pero el empaque venía abierto.",mixto
575,"El olla funciona, pero la batería dura poco.",mixto
576,"El protector solar cumple, aunque esperaba mejor calidad.",mixto
577,"El gorra es útil, aunque venía incompleto.",mixto
578,"El taza cumple, aunque esperaba mejor calidad.",mixto
579,"El figura está bonito, pero se siente frágil.",mixto
580,"El jabón es útil, aunque venía incompleto.",mixto
581,"El chamarra llegó rápido, pero tenía un rayón.",mixto
582,"El pantalón sirve, pero no es igual a la foto.",mixto
583,"El plancha de cabello llegó rápido, pero tenía un rayón.",mixto
584,"El pelota sirve, pero no es igual a la foto.",mixto
585,"sinceramente Me gustó el figura, aunque tardó en llegar.",mixto
586,"El shampoo sirve, pero no es igual a la foto.",mixto
587,"El tabla para picar llegó rápido, pero tenía un rayón.",mixto
588,"El cepillo llegó rápido, pero tenía un rayón.",mixto
589,"El crema llegó rápido, pero tenía un rayón.",mixto
590,"El bocina es útil, aunque venía incompleto.",mixto
591,"El pantalón cumple, aunque esperaba mejor calidad.",mixto
592,"Me gustó el jabón, aunque tardó en llegar.",mixto
593,"Me gustó el precio del tenis, pero el material no tanto.",mixto
594,"El juguete funciona bien, pero llegó golpeado.",mixto
595,"ok, El drone infantil llegó rápido, pero tenía un rayón.!!!",mixto
596,"El pelota funciona, pero la batería dura poco.",mixto
597,"pues El lámpara led funciona, pero la batería dura poco. pero bueno",mixto
598,"El juego de mesa funciona bien, pero llegó golpeado.",mixto
599,"El mouse está bonito, pero se siente frágil.",mixto
600,"El short funciona, pero la batería dura poco.",mixto
